"X","index","sid","dyad","user_id","other_id","participant_condition","other_condition","question_content","measure","condition"
60,60,"mk:prolific_participant_real_2:1","p3p7","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p7","S","U","liked",5,"SU"
61,61,"mk:prolific_participant_real_2:1","p3p7","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p7","S","U","other_liked",6,"SU"
62,62,"mk:prolific_participant_real_2:1","p3p7","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p7","S","U","conversation_quality",4,"SU"
63,63,"mk:prolific_participant_real_2:1","p3p7","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p7","S","U","video_conf_quality",6,"SU"
64,64,"mk:prolific_participant_real_2:1","p3p8","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p8","U","U","liked",7,"UU"
65,65,"mk:prolific_participant_real_2:1","p3p8","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p8","U","U","other_liked",7,"UU"
66,66,"mk:prolific_participant_real_2:1","p3p8","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p8","U","U","conversation_quality",7,"UU"
67,67,"mk:prolific_participant_real_2:1","p3p8","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p8","U","U","video_conf_quality",7,"UU"
68,68,"mk:prolific_participant_real_2:1","p3p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p3","U","U","liked",7,"UU"
69,69,"mk:prolific_participant_real_2:1","p3p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p3","U","U","other_liked",7,"UU"
70,70,"mk:prolific_participant_real_2:1","p3p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p3","U","U","conversation_quality",7,"UU"
71,71,"mk:prolific_participant_real_2:1","p3p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p3","U","U","video_conf_quality",7,"UU"
72,72,"mk:prolific_participant_real_2:1","p4p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p4","U","S","liked",6,"US"
73,73,"mk:prolific_participant_real_2:1","p4p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p4","U","S","other_liked",6,"US"
74,74,"mk:prolific_participant_real_2:1","p4p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p4","U","S","conversation_quality",7,"US"
75,75,"mk:prolific_participant_real_2:1","p4p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p4","U","S","video_conf_quality",5,"US"
76,76,"mk:prolific_participant_real_2:1","p4p7","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p4","S","U","liked",4,"SU"
77,77,"mk:prolific_participant_real_2:1","p4p7","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p4","S","U","other_liked",4,"SU"
78,78,"mk:prolific_participant_real_2:1","p4p7","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p4","S","U","conversation_quality",4,"SU"
79,79,"mk:prolific_participant_real_2:1","p4p7","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p4","S","U","video_conf_quality",4,"SU"
80,80,"mk:prolific_participant_real_2:1","p4p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p4","S","S","liked",4,"SS"
81,81,"mk:prolific_participant_real_2:1","p4p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p4","S","S","other_liked",4,"SS"
82,82,"mk:prolific_participant_real_2:1","p4p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p4","S","S","conversation_quality",4,"SS"
83,83,"mk:prolific_participant_real_2:1","p4p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p4","S","S","video_conf_quality",4,"SS"
84,84,"mk:prolific_participant_real_2:2","p1p5","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p5","U","U","liked",7,"UU"
85,85,"mk:prolific_participant_real_2:2","p1p5","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p5","U","U","other_liked",6,"UU"
86,86,"mk:prolific_participant_real_2:2","p1p5","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p5","U","U","conversation_quality",6,"UU"
87,87,"mk:prolific_participant_real_2:2","p1p5","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p5","U","U","video_conf_quality",6,"UU"
88,88,"mk:prolific_participant_real_2:2","p1p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p1","U","U","liked",7,"UU"
89,89,"mk:prolific_participant_real_2:2","p1p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p1","U","U","other_liked",6,"UU"
90,90,"mk:prolific_participant_real_2:2","p1p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p1","U","U","conversation_quality",7,"UU"
91,91,"mk:prolific_participant_real_2:2","p1p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p1","U","U","video_conf_quality",7,"UU"
92,92,"mk:prolific_participant_real_2:2","p1p6","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p6","S","U","liked",4,"SU"
93,93,"mk:prolific_participant_real_2:2","p1p6","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p6","S","U","other_liked",4,"SU"
94,94,"mk:prolific_participant_real_2:2","p1p6","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p6","S","U","conversation_quality",4,"SU"
95,95,"mk:prolific_participant_real_2:2","p1p6","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p6","S","U","video_conf_quality",4,"SU"
96,96,"mk:prolific_participant_real_2:2","p1p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p1","U","S","liked",1,"US"
97,97,"mk:prolific_participant_real_2:2","p1p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p1","U","S","other_liked",1,"US"
98,98,"mk:prolific_participant_real_2:2","p1p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p1","U","S","conversation_quality",1,"US"
99,99,"mk:prolific_participant_real_2:2","p1p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p1","U","S","video_conf_quality",5,"US"
100,100,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p7","S","S","liked",7,"SS"
101,101,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p7","S","S","other_liked",6,"SS"
102,102,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p7","S","S","conversation_quality",7,"SS"
103,103,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p7","S","S","video_conf_quality",7,"SS"
104,104,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p1","S","S","liked",6,"SS"
105,105,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p1","S","S","other_liked",6,"SS"
106,106,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p1","S","S","conversation_quality",6,"SS"
107,107,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p1","S","S","video_conf_quality",6,"SS"
108,108,"mk:prolific_participant_real_2:2","p1p8","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p8","U","S","liked",4,"US"
109,109,"mk:prolific_participant_real_2:2","p1p8","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p8","U","S","other_liked",4,"US"
110,110,"mk:prolific_participant_real_2:2","p1p8","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p8","U","S","conversation_quality",4,"US"
111,111,"mk:prolific_participant_real_2:2","p1p8","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p8","U","S","video_conf_quality",4,"US"
112,112,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p5","S","S","liked",6,"SS"
113,113,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p5","S","S","other_liked",6,"SS"
114,114,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p5","S","S","conversation_quality",6,"SS"
115,115,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p5","S","S","video_conf_quality",6,"SS"
116,116,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p2","S","S","liked",6,"SS"
117,117,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p2","S","S","other_liked",6,"SS"
118,118,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p2","S","S","conversation_quality",6,"SS"
119,119,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p2","S","S","video_conf_quality",6,"SS"
120,120,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p6","U","S","liked",5,"US"
121,121,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p6","U","S","other_liked",5,"US"
122,122,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p6","U","S","conversation_quality",6,"US"
123,123,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p6","U","S","video_conf_quality",5,"US"
124,124,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p2","S","U","liked",5,"SU"
125,125,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p2","S","U","other_liked",4,"SU"
126,126,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p2","S","U","conversation_quality",5,"SU"
127,127,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p2","S","U","video_conf_quality",5,"SU"
128,128,"mk:prolific_participant_real_2:2","p2p7","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p7","U","U","liked",6,"UU"
129,129,"mk:prolific_participant_real_2:2","p2p7","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p7","U","U","other_liked",5,"UU"
130,130,"mk:prolific_participant_real_2:2","p2p7","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p7","U","U","conversation_quality",6,"UU"
131,131,"mk:prolific_participant_real_2:2","p2p7","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p7","U","U","video_conf_quality",6,"UU"
132,132,"mk:prolific_participant_real_2:2","p2p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p2","U","U","liked",6,"UU"
133,133,"mk:prolific_participant_real_2:2","p2p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p2","U","U","other_liked",6,"UU"
134,134,"mk:prolific_participant_real_2:2","p2p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p2","U","U","conversation_quality",6,"UU"
