...1,index,sid,dyad,user_id,other_id,participant_condition,other_condition,question_content,measure,relationship,measure.p,measure.t
213,213,mk:prolific_participant_real_3:1,p2p5,mk:prolific_participant_real_3:1p2,mk:prolific_participant_real_3:1p5,S,S,other_liked,6,-0.216652199074076,-0.0123456790123448,0.217206790123459
215,215,mk:prolific_participant_real_3:1,p2p5,mk:prolific_participant_real_3:1p2,mk:prolific_participant_real_3:1p5,S,S,video_conf_quality,7,0.0170609085648152,0.327620978545095,-0.203483005937072
234,234,mk:prolific_participant_real_3:1,p3p5,mk:prolific_participant_real_3:1p3,mk:prolific_participant_real_3:1p5,U,S,conversation_quality,3,-1.64074315200617,-1.3592544367284,0.0680217978395063
232,232,mk:prolific_participant_real_3:1,p3p5,mk:prolific_participant_real_3:1p3,mk:prolific_participant_real_3:1p5,U,S,liked,5,-0.537655526620371,-0.710973668981481,0.0827184606481488
233,233,mk:prolific_participant_real_3:1,p3p5,mk:prolific_participant_real_3:1p3,mk:prolific_participant_real_3:1p5,U,S,other_liked,6,0.212866512345676,-0.441864390432097,-0.0785349151234556
235,235,mk:prolific_participant_real_3:1,p3p5,mk:prolific_participant_real_3:1p3,mk:prolific_participant_real_3:1p5,U,S,video_conf_quality,6,0.499840119705931,-1.15515823259602,0.125885470250344
262,262,mk:prolific_participant_real_3:1,p4p5,mk:prolific_participant_real_3:1p4,mk:prolific_participant_real_3:1p5,S,U,conversation_quality,7,0.606978202160493,0.393024209104938,0.26170669367284
260,260,mk:prolific_participant_real_3:1,p4p5,mk:prolific_participant_real_3:1p4,mk:prolific_participant_real_3:1p5,S,U,liked,6,-0.288632089120371,0.040002893518519,0.165726273148149
261,261,mk:prolific_participant_real_3:1,p4p5,mk:prolific_participant_real_3:1p4,mk:prolific_participant_real_3:1p5,S,U,other_liked,6,-0.317081404320991,0.0880835262345698,0.227454668209878
263,263,mk:prolific_participant_real_3:1,p4p5,mk:prolific_participant_real_3:1p4,mk:prolific_participant_real_3:1p5,S,U,video_conf_quality,7,-0.250729541752403,0.595411428862313,0.32014002754201
206,206,mk:prolific_participant_real_3:1,p1p5,mk:prolific_participant_real_3:1p5,mk:prolific_participant_real_3:1p1,U,U,conversation_quality,4,NA,0.151029610339506,-0.608277874228395
204,204,mk:prolific_participant_real_3:1,p1p5,mk:prolific_participant_real_3:1p5,mk:prolific_participant_real_3:1p1,U,U,liked,4,NA,0.108597366898149,-0.462221498842592
205,205,mk:prolific_participant_real_3:1,p1p5,mk:prolific_participant_real_3:1p5,mk:prolific_participant_real_3:1p1,U,U,other_liked,4,NA,0.172767168209878,-0.414520640432097
207,207,mk:prolific_participant_real_3:1,p1p5,mk:prolific_participant_real_3:1p5,mk:prolific_participant_real_3:1p1,U,U,video_conf_quality,4,NA,0.538944281014233,0.36977123789009
226,226,mk:prolific_participant_real_3:1,p2p6,mk:prolific_participant_real_3:1p6,mk:prolific_participant_real_3:1p2,S,U,conversation_quality,7,-0.0463179976851862,0.17869888117284,-0.357952353395062
224,224,mk:prolific_participant_real_3:1,p2p6,mk:prolific_participant_real_3:1p6,mk:prolific_participant_real_3:1p2,S,U,liked,7,-0.0624674479166671,0.163935908564815,0.0384295428240744
225,225,mk:prolific_participant_real_3:1,p2p6,mk:prolific_participant_real_3:1p6,mk:prolific_participant_real_3:1p2,S,U,other_liked,7,0.16312210648147701,-0.0238474151234538,0.0607397762345698
227,227,mk:prolific_participant_real_3:1,p2p6,mk:prolific_participant_real_3:1p6,mk:prolific_participant_real_3:1p2,S,U,video_conf_quality,4,-1.34285059799383,-0.739213271069101,-0.0190633975265762
210,210,mk:prolific_participant_real_3:1,p1p7,mk:prolific_participant_real_3:1p7,mk:prolific_participant_real_3:1p1,S,S,conversation_quality,7,NA,0.259343653549383,0.37715808256173
208,208,mk:prolific_participant_real_3:1,p1p7,mk:prolific_participant_real_3:1p7,mk:prolific_participant_real_3:1p1,S,S,liked,7,NA,0.158383969907408,-0.0123336226851851
209,209,mk:prolific_participant_real_3:1,p1p7,mk:prolific_participant_real_3:1p7,mk:prolific_participant_real_3:1p1,S,S,other_liked,7,NA,0.217206790123459,-0.0123456790123448
211,211,mk:prolific_participant_real_3:1,p1p7,mk:prolific_participant_real_3:1p7,mk:prolific_participant_real_3:1p1,S,S,video_conf_quality,7,NA,0.432394815243486,-0.593250332218791
286,286,mk:prolific_participant_real_3:2,p1p5,mk:prolific_participant_real_3:2p1,mk:prolific_participant_real_3:2p5,U,U,conversation_quality,7,0.157101585751489,0.573225233289929,-0.0755581325954875
284,284,mk:prolific_participant_real_3:2,p1p5,mk:prolific_participant_real_3:2p1,mk:prolific_participant_real_3:2p5,U,U,liked,7,0.0857921781994069,0.460984971788193,-0.0794609917534732
285,285,mk:prolific_participant_real_3:2,p1p5,mk:prolific_participant_real_3:2p1,mk:prolific_participant_real_3:2p5,U,U,other_liked,7,0.117650349934898,0.545175340440538,-0.110611809624568
287,287,mk:prolific_participant_real_3:2,p1p5,mk:prolific_participant_real_3:2p1,mk:prolific_participant_real_3:2p5,U,U,video_conf_quality,7,-0.178346906389507,0.350534227159288,0.072798834906683
318,318,mk:prolific_participant_real_3:2,p2p5,mk:prolific_participant_real_3:2p2,mk:prolific_participant_real_3:2p5,S,S,conversation_quality,7,0.958527095734128,-0.22820027669271,-0.49657185872396
316,316,mk:prolific_participant_real_3:2,p2p5,mk:prolific_participant_real_3:2p2,mk:prolific_participant_real_3:2p5,S,S,liked,7,0.617822071862602,-0.0710449218750018,-0.300089518229168
317,317,mk:prolific_participant_real_3:2,p2p5,mk:prolific_participant_real_3:2p2,mk:prolific_participant_real_3:2p5,S,S,other_liked,7,0.665829128689239,-0.00300343831380356,-0.332588195800782
319,319,mk:prolific_participant_real_3:2,p2p5,mk:prolific_participant_real_3:2p2,mk:prolific_participant_real_3:2p5,S,S,video_conf_quality,7,-0.0340174114893337,0.206204732259114,-0.297818501790366
346,346,mk:prolific_participant_real_3:2,p3p5,mk:prolific_participant_real_3:2p3,mk:prolific_participant_real_3:2p5,U,S,conversation_quality,7,-0.163048153831843,0.893374972873262,-0.590369330512154
344,344,mk:prolific_participant_real_3:2,p3p5,mk:prolific_participant_real_3:2p3,mk:prolific_participant_real_3:2p5,U,S,liked,7,-0.0535307384672592,0.600307888454859,-0.608106825086807
345,345,mk:prolific_participant_real_3:2,p3p5,mk:prolific_participant_real_3:2p3,mk:prolific_participant_real_3:2p5,U,S,other_liked,7,-0.0355072021484348,0.698332892523871,-0.458430820041234
347,347,mk:prolific_participant_real_3:2,p3p5,mk:prolific_participant_real_3:2p3,mk:prolific_participant_real_3:2p5,U,S,video_conf_quality,7,-0.136843000139506,0.309030320909287,-0.469681633843318
378,378,mk:prolific_participant_real_3:2,p4p5,mk:prolific_participant_real_3:2p4,mk:prolific_participant_real_3:2p5,S,U,conversation_quality,6,-0.133425757998511,-0.136247422960071,0.0499301486545125
376,376,mk:prolific_participant_real_3:2,p4p5,mk:prolific_participant_real_3:2p4,mk:prolific_participant_real_3:2p5,S,U,liked,6,-0.21856980096726,-0.23465304904514,0.226854112413193
377,377,mk:prolific_participant_real_3:2,p4p5,mk:prolific_participant_real_3:2p4,mk:prolific_participant_real_3:2p5,S,U,other_liked,6,-0.159042358398436,-0.178131951226129,-0.165950351291233
379,379,mk:prolific_participant_real_3:2,p4p5,mk:prolific_participant_real_3:2p4,mk:prolific_participant_real_3:2p5,S,U,video_conf_quality,7,0.698117937360493,-0.525930616590712,0.365279303656683
290,290,mk:prolific_participant_real_3:2,p1p5,mk:prolific_participant_real_3:2p5,mk:prolific_participant_real_3:2p1,U,U,conversation_quality,5,0.12231154668899,-0.601545545789931,0.714881049262153
288,288,mk:prolific_participant_real_3:2,p1p5,mk:prolific_participant_real_3:2p5,mk:prolific_participant_real_3:2p1,U,U,liked,6,0.333513532366072,-0.258958604600695,0.448316786024304
289,289,mk:prolific_participant_real_3:2,p1p5,mk:prolific_participant_real_3:2p5,mk:prolific_participant_real_3:2p1,U,U,other_liked,5,0.0970306396484393,-0.832589891221788,0.491003248426647
291,291,mk:prolific_participant_real_3:2,p1p5,mk:prolific_participant_real_3:2p5,mk:prolific_participant_real_3:2p1,U,U,video_conf_quality,7,0.377449398949035,0.0701404147677938,0.348201327853731
298,298,mk:prolific_participant_real_3:2,p1p6,mk:prolific_participant_real_3:2p6,mk:prolific_participant_real_3:2p1,U,S,conversation_quality,6,0.0554237971230185,0.46534220377604,0.56769816080729
296,296,mk:prolific_participant_real_3:2,p1p6,mk:prolific_participant_real_3:2p6,mk:prolific_participant_real_3:2p1,U,S,liked,6,-0.0158991737971217,0.0904541015624991,0.319986979166666
297,297,mk:prolific_participant_real_3:2,p1p6,mk:prolific_participant_real_3:2p6,mk:prolific_participant_real_3:2p1,U,S,other_liked,6,0.206485324435767,0.0579554239908839,0.388028462727864
299,299,mk:prolific_participant_real_3:2,p1p6,mk:prolific_participant_real_3:2p6,mk:prolific_participant_real_3:2p1,U,S,video_conf_quality,6,-0.196811736576138,-0.355598449707033,-0.520520528157553
306,306,mk:prolific_participant_real_3:2,p1p7,mk:prolific_participant_real_3:2p7,mk:prolific_participant_real_3:2p1,S,S,conversation_quality,5,-0.600995744977676,0.121761745876735,0.770219590928818
304,304,mk:prolific_participant_real_3:2,p1p7,mk:prolific_participant_real_3:2p7,mk:prolific_participant_real_3:2p1,S,S,liked,6,-0.208966936383927,0.283521864149304,0.489820692274304
305,305,mk:prolific_participant_real_3:2,p1p7,mk:prolific_participant_real_3:2p7,mk:prolific_participant_real_3:2p1,S,S,other_liked,6,-0.168757120768227,0.433197869194878,0.587845696343315
307,307,mk:prolific_participant_real_3:2,p1p7,mk:prolific_participant_real_3:2p7,mk:prolific_participant_real_3:2p1,S,S,video_conf_quality,6,-0.260896955217632,-0.291513231065539,0.320532057020399
314,314,mk:prolific_participant_real_3:2,p1p8,mk:prolific_participant_real_3:2p8,mk:prolific_participant_real_3:2p1,S,U,conversation_quality,5,0.608476911272323,-1.08771091037326,-0.940229627821181
312,312,mk:prolific_participant_real_3:2,p1p8,mk:prolific_participant_real_3:2p8,mk:prolific_participant_real_3:2p1,S,U,liked,5,-0.054832821800594,-0.870612250434029,-0.497321234809029
313,313,mk:prolific_participant_real_3:2,p1p8,mk:prolific_participant_real_3:2p8,mk:prolific_participant_real_3:2p1,S,U,other_liked,5,-0.0146230061848938,-0.720936245388455,-0.399296230740019
315,315,mk:prolific_participant_real_3:2,p1p8,mk:prolific_participant_real_3:2p8,mk:prolific_participant_real_3:2p1,S,U,video_conf_quality,7,0.210457211449035,0.237132602267794,0.181209140353731
410,410,mk:real_meeting_experiment_prolific:2,p1p5,mk:real_meeting_experiment_prolific:2p1,mk:real_meeting_experiment_prolific:2p5,U,U,conversation_quality,7,0.435399615575399,0.298515319824217,-0.515841166178387
408,408,mk:real_meeting_experiment_prolific:2,p1p5,mk:real_meeting_experiment_prolific:2p1,mk:real_meeting_experiment_prolific:2p5,U,U,liked,7,0.385826958550348,0.360806783040363,-0.273262023925782
409,409,mk:real_meeting_experiment_prolific:2,p1p5,mk:real_meeting_experiment_prolific:2p1,mk:real_meeting_experiment_prolific:2p5,U,U,other_liked,7,0.751457274906219,0.128335316975911,-0.839855194091797
411,411,mk:real_meeting_experiment_prolific:2,p1p5,mk:real_meeting_experiment_prolific:2p1,mk:real_meeting_experiment_prolific:2p5,U,U,video_conf_quality,7,1.04342409164187,-0.18578847249349,0.124631245930988
