...1,index,sid,dyad,user_id,other_id,participant_condition,other_condition,question_content,measure,relationship
344,344,mk:prolific_participant_real_3:2,p3p5,mk:prolific_participant_real_3:2p3,mk:prolific_participant_real_3:2p5,U,S,liked,7,-0.0535307384672592
348,348,mk:prolific_participant_real_3:2,p3p5,mk:prolific_participant_real_3:2p5,mk:prolific_participant_real_3:2p3,S,U,liked,4,-1.13784063430059
352,352,mk:prolific_participant_real_3:2,p3p6,mk:prolific_participant_real_3:2p3,mk:prolific_participant_real_3:2p6,S,S,liked,7,0.0747990683903792
356,356,mk:prolific_participant_real_3:2,p3p6,mk:prolific_participant_real_3:2p6,mk:prolific_participant_real_3:2p3,S,S,liked,7,1.51274665953621
360,360,mk:prolific_participant_real_3:2,p3p7,mk:prolific_participant_real_3:2p3,mk:prolific_participant_real_3:2p7,S,U,liked,7,-0.0950346447172583
364,364,mk:prolific_participant_real_3:2,p3p7,mk:prolific_participant_real_3:2p7,mk:prolific_participant_real_3:2p3,U,S,liked,5,-0.680321103050593
368,368,mk:prolific_participant_real_3:2,p3p8,mk:prolific_participant_real_3:2p3,mk:prolific_participant_real_3:2p8,U,U,liked,7,0.892107282366074
372,372,mk:prolific_participant_real_3:2,p3p8,mk:prolific_participant_real_3:2p8,mk:prolific_participant_real_3:2p3,U,U,liked,4,-0.52618698846726
376,376,mk:prolific_participant_real_3:2,p4p5,mk:prolific_participant_real_3:2p4,mk:prolific_participant_real_3:2p5,S,U,liked,6,-0.21856980096726
380,380,mk:prolific_participant_real_3:2,p4p5,mk:prolific_participant_real_3:2p5,mk:prolific_participant_real_3:2p4,U,S,liked,6,0.027198428199406
384,384,mk:prolific_participant_real_3:2,p4p6,mk:prolific_participant_real_3:2p4,mk:prolific_participant_real_3:2p6,U,U,liked,6,-0.0902399941096217
388,388,mk:prolific_participant_real_3:2,p4p6,mk:prolific_participant_real_3:2p6,mk:prolific_participant_real_3:2p4,U,U,liked,7,0.677785722036212
392,392,mk:prolific_participant_real_3:2,p4p7,mk:prolific_participant_real_3:2p4,mk:prolific_participant_real_3:2p7,U,S,liked,6,-0.260073707217259
396,396,mk:prolific_participant_real_3:2,p4p7,mk:prolific_participant_real_3:2p7,mk:prolific_participant_real_3:2p4,S,U,liked,7,0.484717959449407
400,400,mk:prolific_participant_real_3:2,p4p8,mk:prolific_participant_real_3:2p4,mk:prolific_participant_real_3:2p8,S,S,liked,5,-0.272931780133927
404,404,mk:prolific_participant_real_3:2,p4p8,mk:prolific_participant_real_3:2p8,mk:prolific_participant_real_3:2p4,S,S,liked,5,-0.36114792596726
408,408,mk:real_meeting_experiment_prolific:2,p1p5,mk:real_meeting_experiment_prolific:2p1,mk:real_meeting_experiment_prolific:2p5,U,U,liked,7,0.385826958550348
412,412,mk:real_meeting_experiment_prolific:2,p1p5,mk:real_meeting_experiment_prolific:2p5,mk:real_meeting_experiment_prolific:2p1,U,U,liked,6,0.0336337619357652
