"dyad_std","question_content","rel1","rel2"
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p5","other_liked",6,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p5","other_liked",6,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p5","video_conf_quality",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p5","video_conf_quality",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p6","conversation_quality",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p6","conversation_quality",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p6","liked",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p6","liked",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p6","other_liked",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p6","other_liked",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p6","video_conf_quality",7,6
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p6","video_conf_quality",7,6
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p7","conversation_quality",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p7","conversation_quality",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p7","liked",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p7","liked",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p7","other_liked",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p7","other_liked",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p7","video_conf_quality",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p7","video_conf_quality",7,7
"mk:prolific_participant_real_3:2p1_mk:prolific_participant_real_3:2p5","conversation_quality",7,5
"mk:prolific_participant_real_3:2p1_mk:prolific_participant_real_3:2p5","conversation_quality",7,5
"mk:prolific_participant_real_3:2p1_mk:prolific_participant_real_3:2p5","liked",7,6
"mk:prolific_participant_real_3:2p1_mk:prolific_participant_real_3:2p5","liked",7,6
