,sid,user_id,other_id,participant_condition,other_condition,question_content,Unnamed: 0,measure
70,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p8,mk:prolific_participant_real_2:1p3,U,U,other_liked,30.0,0.748977187970147
71,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p8,mk:prolific_participant_real_2:1p3,U,U,video_conf_quality,30.0,0.668254505397884
72,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p5,U,U,conversation_quality,49.0,0.340473341563392
73,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p5,U,U,liked,49.0,1.23673370527843
74,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p5,U,U,other_liked,49.0,0.687859675240896
75,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p5,U,U,video_conf_quality,49.0,0.191570615011547
76,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p6,S,U,conversation_quality,51.0,-0.478659145415775
77,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p6,S,U,liked,51.0,-0.929770200971574
78,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p6,S,U,other_liked,51.0,-0.67314292892577
79,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p6,S,U,video_conf_quality,51.0,-0.0856917547801199
80,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p7,S,S,conversation_quality,53.0,1.31272269052173
81,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p7,S,S,liked,53.0,1.22285837975759
82,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p7,S,S,other_liked,53.0,0.82685707107423
83,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p7,S,S,video_conf_quality,53.0,1.02482256813655
84,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p8,U,S,conversation_quality,55.0,-0.946558944762697
85,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p8,U,S,liked,55.0,-1.2190049981314
86,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p8,U,S,other_liked,55.0,-0.789554455923655
87,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p8,U,S,video_conf_quality,55.0,-1.26084151343694
88,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p5,S,S,conversation_quality,61.0,0.114530888814776
89,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p5,S,S,liked,61.0,0.372037997321477
90,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p5,S,S,other_liked,61.0,0.642540594888112
91,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p5,S,S,video_conf_quality,61.0,0.206676975129142
92,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p6,U,S,conversation_quality,63.0,1.29539840183561
93,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p6,U,S,liked,63.0,0.205534091071476
94,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p6,U,S,other_liked,63.0,0.281537990721447
95,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p6,U,S,video_conf_quality,63.0,0.929414605337475
96,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p7,U,U,conversation_quality,65.0,0.0867802377731088
97,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p7,U,U,liked,65.0,0.358162671800644
98,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p7,U,U,other_liked,65.0,-0.218462009278554
99,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p7,U,U,video_conf_quality,65.0,0.0399289282541417
100,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p8,S,U,conversation_quality,67.0,-1.17250139751131
101,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p8,S,U,liked,67.0,-1.08370070608835
102,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p8,S,U,other_liked,67.0,-0.834873536276438
103,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p8,S,U,video_conf_quality,67.0,-1.24573515331934
104,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p5,U,S,conversation_quality,71.0,1.1350495626056
105,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p5,U,S,liked,71.0,0.0322891114250066
106,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p5,U,S,other_liked,71.0,0.105268962799557
107,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p5,U,S,video_conf_quality,71.0,0.675234915718198
108,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p6,S,S,conversation_quality,73.0,-1.68408292437357
109,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p6,S,S,liked,73.0,-0.134214794824994
110,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p6,S,S,other_liked,73.0,-0.255733641367108
111,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p6,S,S,video_conf_quality,73.0,-1.60202745407347
112,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p7,S,U,conversation_quality,75.0,0.107298911563934
113,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p7,S,U,liked,75.0,0.0184137859041735
